"Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"Dr. No",1962,"APPROVED",1963-05-08,"110 min","Action, Adventure, Thriller","Terence Young","Richard Maibaum (screenplay), Johanna Harwood (screenplay), Berkely Mather (screenplay), Ian Fleming (novel)","Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord","A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.","English, French","UK","Won 1 Golden Globe. Another 4 nominations.","http://ia.media-imdb.com/images/M/MV5BOTU3NzExMTQ4N15BMl5BanBnXkFtZTcwMjkzNzQzNA@@._V1_SX300.jpg","N/A",7.3,112852,"tt0055928","movie",96,"certified",7.8,51,49,2,"Featuring plenty of the humor, action, and escapist thrills the series would become known for, Dr. No kicks off the Bond franchise in style.",82,3.6,110394,"http://www.rottentomatoes.com/m/dr_no/",2002-10-22,"N/A","United Artists","N/A","True"
"From Russia with Love",1963,"APPROVED",1964-05-27,"115 min","Action, Adventure, Thriller","Terence Young","Richard Maibaum (screenplay), Johanna Harwood (adaptation)","Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya","James Bond willingly falls into an assassination ploy involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by SPECTRE.","English, Russian, Turkish, Romany","UK","Nominated for 1 Golden Globe. Another 2 wins & 5 nominations.","http://ia.media-imdb.com/images/M/MV5BMTQxNTIzMTExN15BMl5BanBnXkFtZTcwODI4MDgzNA@@._V1_SX300.jpg","N/A",7.5,85769,"tt0057076","movie",96,"certified",8,51,49,2,"The second James Bond film, From Russia with Love is a razor-sharp, briskly-paced Cold War thriller that features several electrifying action scenes.",83,3.6,92487,"http://www.rottentomatoes.com/m/from_russia_with_love/",2006-03-28,"N/A","United Artists","N/A","True"
"Goldfinger",1964,"APPROVED",1965-01-09,"110 min","Action, Adventure, Thriller","Guy Hamilton","Richard Maibaum (screenplay), Paul Dehn (screenplay)","Sean Connery, Honor Blackman, Gert Fröbe, Shirley Eaton","Investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.","English, Chinese, Spanish","UK","Won 1 Oscar. Another 3 wins & 6 nominations.","http://ia.media-imdb.com/images/M/MV5BMTQ2MzE0OTU3NV5BMl5BanBnXkFtZTcwNjQxNTgzNA@@._V1_SX300.jpg","N/A",7.8,135326,"tt0058150","movie",96,"certified",8.6,57,55,2,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.",89,3.6,205877,"http://www.rottentomatoes.com/m/goldfinger/",1997-11-18,"N/A","United Artists","http://www.mgm.com/title_title.do?title_star=GOLDFING","True"
"Thunderball",1965,"APPROVED",1965-12-22,"130 min","Action, Adventure, Thriller","Terence Young","Richard Maibaum (screenplay), John Hopkins (screenplay), Jack Whittingham (original screenplay), Kevin McClory (original story), Jack Whittingham (original story), Ian Fleming (original story)","Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi","James Bond heads to The Bahamas to recover two nuclear warheads stolen by SPECTRE agent Emilio Largo in an international extortion scheme.","English, French","UK","Won 1 Oscar. Another 3 wins & 5 nominations.","http://ia.media-imdb.com/images/M/MV5BMTY1Mjc2MTYxNV5BMl5BanBnXkFtZTcwNzUzMzY3NA@@._V1_SX300.jpg","N/A",7,79339,"tt0059800","movie",86,"certified",6.8,43,37,6,"Lavishly rendered set pieces and Sean Connery's enduring charm make Thunderball a big, fun adventure, even if it doesn't quite measure up to the series' previous heights.",73,3.5,62556,"http://www.rottentomatoes.com/m/thunderball/",1999-10-19,"N/A","United Artists","http://www.mgm.com/title_title.do?title_star=THUNDERB","True"
"You Only Live Twice",1967,"APPROVED",1967-06-13,"117 min","Action, Adventure, Thriller","Lewis Gilbert","Harold Jack Bloom (additional story material), Roald Dahl (screenplay)","Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsurô Tanba","Agent 007 and the Japanese secret service ninja force must find and stop the true culprit of a series of spacejackings before nuclear war is provoked.","English, Japanese, Russian","UK, USA","Nominated for 1 BAFTA Film Award. Another 1 win & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk4NTU2Mzk1OV5BMl5BanBnXkFtZTcwMzY5MDg0NA@@._V1_SX300.jpg","N/A",6.9,72440,"tt0062512","movie",72,"fresh",6.5,43,31,12,"With exotic locales, impressive special effects, and a worthy central villain, You Only Live Twice overcomes a messy and implausible story to deliver another memorable early Bond flick.",69,3.4,57107,"http://www.rottentomatoes.com/m/you_only_live_twice/",2000-10-17,"N/A","United Artists","N/A","True"
"On Her Majesty's Secret Service",1969,"M",1969-12-18,"142 min","Action, Adventure, Thriller","Peter R. Hunt","Simon Raven (additional dialogue), Richard Maibaum (screenplay)","George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti","James Bond woos a mob boss's daughter and goes undercover to uncover the true reason for Blofeld's allergy research in the Swiss Alps that involves beautiful women from around the world.","English, German, French","UK, USA","Nominated for 1 Golden Globe. Another 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTc0NDYzMjgyNV5BMl5BanBnXkFtZTcwMjgyMzY0NA@@._V1_SX300.jpg","N/A",6.8,57570,"tt0064757","movie",82,"certified",6.8,45,37,8,"George Lazenby's only appearance as 007 is a fine entry in the series, featuring one of the most intriguing Bond girls in Tracy di Vincenzo (Diana Rigg), breathtaking visuals, and some great ski chases.",64,3.2,50862,"http://www.rottentomatoes.com/m/on_her_majestys_secret_service/",2000-05-16,"N/A","United Artists","N/A","True"
"Diamonds Are Forever",1971,"GP",1971-12-17,"120 min","Action, Adventure, Thriller","Guy Hamilton","Richard Maibaum (screenplay), Tom Mankiewicz (screenplay)","Sean Connery, Jill St. John, Charles Gray, Lana Wood","A diamond smuggling investigation leads James Bond to Las Vegas, where he uncovers an evil plot involving a rich business tycoon.","English, German","UK, USA","Nominated for 1 Oscar. Another 1 win & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTM0MDI2MzYzOF5BMl5BanBnXkFtZTcwNDY4NTMzNA@@._V1_SX300.jpg","N/A",6.7,71439,"tt0066995","movie",67,"fresh",6.4,43,29,14,"Diamonds are Forever is a largely derivative affair, but it's still pretty entertaining nonetheless, thanks to great stunts, witty dialogue, and the presence of Sean Connery.",59,3.4,66211,"http://www.rottentomatoes.com/m/diamonds_are_forever/",2000-10-17,"N/A","Twentieth Century Fox Home Entertainment","N/A","True"
"Live and Let Die",1973,"PG",1973-06-27,"121 min","Action, Adventure, Thriller","Guy Hamilton","Tom Mankiewicz (screenplay)","Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James","007 is sent to stop a diabolically brilliant heroin magnate armed with a complex organization and a reliable psychic tarot card reader.","English, Hungarian","UK","Nominated for 1 Oscar. Another 2 wins & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMjI2NTY5MTYzMl5BMl5BanBnXkFtZTcwNzY5MDg0NA@@._V1_SX300.jpg","N/A",6.8,72076,"tt0070328","movie",66,"fresh",5.8,44,29,15,"While not one of the highest-rated Bond films, Live and Let Die finds Roger Moore adding his stamp to the series with flashes of style and an improved sense of humor.",65,3.3,64217,"http://www.rottentomatoes.com/m/live_and_let_die/",1999-10-19,"N/A","MGM Home Entertainment","N/A","True"
"The Man with the Golden Gun",1974,"PG",1974-12-20,"125 min","Action, Adventure, Thriller","Guy Hamilton","Richard Maibaum (screenplay), Tom Mankiewicz (screenplay)","Roger Moore, Christopher Lee, Britt Ekland, Maud Adams","James Bond is led to believe that he is targeted by the world's most expensive assassin while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder.","English, Thai, Cantonese","UK, USA","1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BODg3NjQ0MjMwN15BMl5BanBnXkFtZTcwNTY5MDg0NA@@._V1_SX300.jpg","N/A",6.8,71109,"tt0071807","movie",45,"rotten",5.4,44,20,24,"A middling Bond film, The Man With the Golden Gun suffers from double entendre-laden dialogue, a noteworthy lack of gadgets, and a villain that overshadows 007.",57,3.3,61903,"http://www.rottentomatoes.com/m/man_with_the_golden_gun/",2002-10-22,"N/A","MGM Home Entertainment","N/A","True"
"The Spy Who Loved Me",1977,"PG",1977-08-03,"125 min","Action, Adventure, Sci-Fi","Lewis Gilbert","Christopher Wood (screenplay), Richard Maibaum (screenplay)","Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel","James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads with the help of a KGB agent whose lover he killed.","English, Italian, Arabic","UK","Nominated for 3 Oscars. Another 2 wins & 8 nominations.","http://ia.media-imdb.com/images/M/MV5BMjI1MTA5NDE1NF5BMl5BanBnXkFtZTcwMDIzMzY0NA@@._V1_SX300.jpg","N/A",7.1,73597,"tt0076752","movie",79,"certified",7.2,47,37,10,"Though it hints at the absurdity to come in later installments, The Spy Who Loved Me's sleek style, menacing villains, and sly wit make it the best of the Roger Moore era.",76,3.4,60415,"http://www.rottentomatoes.com/m/spy_who_loved_me/",2002-10-22,"N/A","United Artists","N/A","True"
